2022-12-19 06:57:23: PING 217.25.239.31 (217.25.239.31) 56(84) bytes of data.
2022-12-19 07:15:09: 64 bytes from 217.25.239.31: icmp_seq=72 ttl=58 time=12.1 ms
2022-12-19 07:15:24: 64 bytes from 217.25.239.31: icmp_seq=73 ttl=58 time=10.4 ms
2022-12-19 07:15:39: 64 bytes from 217.25.239.31: icmp_seq=74 ttl=58 time=10.4 ms
2022-12-19 07:15:54: 64 bytes from 217.25.239.31: icmp_seq=75 ttl=58 time=10.3 ms
2022-12-19 07:16:09: 64 bytes from 217.25.239.31: icmp_seq=76 ttl=58 time=10.3 ms
2022-12-19 07:16:24: 64 bytes from 217.25.239.31: icmp_seq=77 ttl=58 time=11.0 ms
2022-12-19 07:16:39: 64 bytes from 217.25.239.31: icmp_seq=78 ttl=58 time=11.3 ms
2022-12-19 07:16:54: 64 bytes from 217.25.239.31: icmp_seq=79 ttl=58 time=10.6 ms
2022-12-19 07:17:09: 64 bytes from 217.25.239.31: icmp_seq=80 ttl=58 time=10.1 ms
2022-12-19 07:17:24: 64 bytes from 217.25.239.31: icmp_seq=81 ttl=58 time=10.6 ms
2022-12-19 07:17:39: 64 bytes from 217.25.239.31: icmp_seq=82 ttl=58 time=10.4 ms
2022-12-19 07:17:54: 64 bytes from 217.25.239.31: icmp_seq=83 ttl=58 time=11.0 ms
2022-12-19 07:18:09: 64 bytes from 217.25.239.31: icmp_seq=84 ttl=58 time=11.4 ms
2022-12-19 07:18:24: 64 bytes from 217.25.239.31: icmp_seq=85 ttl=58 time=11.6 ms
2022-12-19 07:18:39: 64 bytes from 217.25.239.31: icmp_seq=86 ttl=58 time=10.4 ms
2022-12-19 07:18:54: 64 bytes from 217.25.239.31: icmp_seq=87 ttl=58 time=11.5 ms
2022-12-19 07:19:09: 64 bytes from 217.25.239.31: icmp_seq=88 ttl=58 time=10.4 ms
2022-12-19 07:19:24: 64 bytes from 217.25.239.31: icmp_seq=89 ttl=58 time=10.4 ms
2022-12-19 07:19:39: 64 bytes from 217.25.239.31: icmp_seq=90 ttl=58 time=11.1 ms
2022-12-19 07:19:54: 64 bytes from 217.25.239.31: icmp_seq=91 ttl=58 time=10.2 ms
2022-12-19 07:20:09: 64 bytes from 217.25.239.31: icmp_seq=92 ttl=58 time=10.3 ms
2022-12-19 07:20:24: 64 bytes from 217.25.239.31: icmp_seq=93 ttl=58 time=10.5 ms
2022-12-19 07:20:39: 64 bytes from 217.25.239.31: icmp_seq=94 ttl=58 time=10.5 ms
2022-12-19 07:20:54: 64 bytes from 217.25.239.31: icmp_seq=95 ttl=58 time=10.6 ms
2022-12-19 07:21:09: 64 bytes from 217.25.239.31: icmp_seq=96 ttl=58 time=10.5 ms
2022-12-19 07:21:24: 64 bytes from 217.25.239.31: icmp_seq=97 ttl=58 time=10.3 ms
2022-12-19 07:21:39: 64 bytes from 217.25.239.31: icmp_seq=98 ttl=58 time=10.8 ms
2022-12-19 07:21:54: 64 bytes from 217.25.239.31: icmp_seq=99 ttl=58 time=11.0 ms
2022-12-19 07:22:09: 64 bytes from 217.25.239.31: icmp_seq=100 ttl=58 time=10.2 ms
2022-12-19 07:22:24: 64 bytes from 217.25.239.31: icmp_seq=101 ttl=58 time=11.1 ms
2022-12-19 07:22:39: 64 bytes from 217.25.239.31: icmp_seq=102 ttl=58 time=10.2 ms
2022-12-19 07:22:54: 64 bytes from 217.25.239.31: icmp_seq=103 ttl=58 time=10.6 ms
2022-12-19 07:23:09: 64 bytes from 217.25.239.31: icmp_seq=104 ttl=58 time=10.6 ms
2022-12-19 07:23:24: 64 bytes from 217.25.239.31: icmp_seq=105 ttl=58 time=10.2 ms
2022-12-19 07:23:39: 64 bytes from 217.25.239.31: icmp_seq=106 ttl=58 time=10.6 ms
2022-12-19 07:23:54: 64 bytes from 217.25.239.31: icmp_seq=107 ttl=58 time=10.2 ms
2022-12-19 07:24:09: 64 bytes from 217.25.239.31: icmp_seq=108 ttl=58 time=10.3 ms
2022-12-19 07:24:24: 64 bytes from 217.25.239.31: icmp_seq=109 ttl=58 time=10.8 ms
2022-12-19 07:24:39: 64 bytes from 217.25.239.31: icmp_seq=110 ttl=58 time=10.9 ms
2022-12-19 07:24:55: 64 bytes from 217.25.239.31: icmp_seq=111 ttl=58 time=10.2 ms
2022-12-19 07:25:10: 64 bytes from 217.25.239.31: icmp_seq=112 ttl=58 time=10.1 ms
2022-12-19 07:25:25: 64 bytes from 217.25.239.31: icmp_seq=113 ttl=58 time=10.7 ms
2022-12-19 07:25:40: 64 bytes from 217.25.239.31: icmp_seq=114 ttl=58 time=11.0 ms
2022-12-19 07:25:55: 64 bytes from 217.25.239.31: icmp_seq=115 ttl=58 time=10.5 ms
2022-12-19 07:26:10: 64 bytes from 217.25.239.31: icmp_seq=116 ttl=58 time=10.2 ms
2022-12-19 07:26:25: 64 bytes from 217.25.239.31: icmp_seq=117 ttl=58 time=10.8 ms
2022-12-19 07:26:40: 64 bytes from 217.25.239.31: icmp_seq=118 ttl=58 time=10.3 ms
2022-12-19 07:26:55: 64 bytes from 217.25.239.31: icmp_seq=119 ttl=58 time=10.4 ms
2022-12-19 07:27:10: 64 bytes from 217.25.239.31: icmp_seq=120 ttl=58 time=10.3 ms
2022-12-19 07:27:25: 64 bytes from 217.25.239.31: icmp_seq=121 ttl=58 time=10.9 ms
2022-12-19 07:27:40: 64 bytes from 217.25.239.31: icmp_seq=122 ttl=58 time=11.4 ms
2022-12-19 07:27:55: 64 bytes from 217.25.239.31: icmp_seq=123 ttl=58 time=10.6 ms
2022-12-19 07:28:10: 64 bytes from 217.25.239.31: icmp_seq=124 ttl=58 time=10.4 ms
2022-12-19 07:28:25: 64 bytes from 217.25.239.31: icmp_seq=125 ttl=58 time=10.7 ms
2022-12-19 07:28:40: 64 bytes from 217.25.239.31: icmp_seq=126 ttl=58 time=10.6 ms
2022-12-19 07:28:55: 64 bytes from 217.25.239.31: icmp_seq=127 ttl=58 time=10.2 ms
2022-12-19 07:29:10: 64 bytes from 217.25.239.31: icmp_seq=128 ttl=58 time=11.1 ms
2022-12-19 07:29:25: 64 bytes from 217.25.239.31: icmp_seq=129 ttl=58 time=10.4 ms
2022-12-19 07:29:40: 64 bytes from 217.25.239.31: icmp_seq=130 ttl=58 time=10.1 ms
2022-12-19 07:29:55: 64 bytes from 217.25.239.31: icmp_seq=131 ttl=58 time=11.3 ms
2022-12-19 07:30:10: 64 bytes from 217.25.239.31: icmp_seq=132 ttl=58 time=10.7 ms
2022-12-19 07:30:25: 64 bytes from 217.25.239.31: icmp_seq=133 ttl=58 time=11.0 ms
2022-12-19 07:30:40: 64 bytes from 217.25.239.31: icmp_seq=134 ttl=58 time=10.2 ms
2022-12-19 07:30:55: 64 bytes from 217.25.239.31: icmp_seq=135 ttl=58 time=10.7 ms
2022-12-19 07:31:10: 64 bytes from 217.25.239.31: icmp_seq=136 ttl=58 time=10.7 ms
2022-12-19 07:31:25: 64 bytes from 217.25.239.31: icmp_seq=137 ttl=58 time=11.5 ms
2022-12-19 07:31:40: 64 bytes from 217.25.239.31: icmp_seq=138 ttl=58 time=10.4 ms
2022-12-19 07:31:55: 64 bytes from 217.25.239.31: icmp_seq=139 ttl=58 time=10.2 ms
2022-12-19 07:32:10: 64 bytes from 217.25.239.31: icmp_seq=140 ttl=58 time=10.2 ms
2022-12-19 07:32:25: 64 bytes from 217.25.239.31: icmp_seq=141 ttl=58 time=10.4 ms
2022-12-19 07:32:40: 64 bytes from 217.25.239.31: icmp_seq=142 ttl=58 time=10.6 ms
2022-12-19 07:32:55: 64 bytes from 217.25.239.31: icmp_seq=143 ttl=58 time=10.9 ms
2022-12-19 07:33:10: 64 bytes from 217.25.239.31: icmp_seq=144 ttl=58 time=10.7 ms
2022-12-19 07:33:25: 64 bytes from 217.25.239.31: icmp_seq=145 ttl=58 time=11.5 ms
2022-12-19 07:33:40: 64 bytes from 217.25.239.31: icmp_seq=146 ttl=58 time=10.5 ms
2022-12-19 07:33:55: 64 bytes from 217.25.239.31: icmp_seq=147 ttl=58 time=10.7 ms
2022-12-19 07:34:10: 64 bytes from 217.25.239.31: icmp_seq=148 ttl=58 time=11.0 ms
2022-12-19 07:34:25: 64 bytes from 217.25.239.31: icmp_seq=149 ttl=58 time=11.1 ms
2022-12-19 07:34:40: 64 bytes from 217.25.239.31: icmp_seq=150 ttl=58 time=11.1 ms
2022-12-19 07:34:55: 64 bytes from 217.25.239.31: icmp_seq=151 ttl=58 time=10.2 ms
2022-12-19 07:35:10: 64 bytes from 217.25.239.31: icmp_seq=152 ttl=58 time=10.6 ms
2022-12-19 07:35:25: 64 bytes from 217.25.239.31: icmp_seq=153 ttl=58 time=10.9 ms
2022-12-19 07:35:40: 64 bytes from 217.25.239.31: icmp_seq=154 ttl=58 time=10.3 ms
2022-12-19 07:35:55: 64 bytes from 217.25.239.31: icmp_seq=155 ttl=58 time=10.3 ms
2022-12-19 07:36:10: 64 bytes from 217.25.239.31: icmp_seq=156 ttl=58 time=11.2 ms
2022-12-19 07:36:25: 64 bytes from 217.25.239.31: icmp_seq=157 ttl=58 time=10.3 ms
2022-12-19 07:36:40: 64 bytes from 217.25.239.31: icmp_seq=158 ttl=58 time=10.3 ms
2022-12-19 07:36:55: 64 bytes from 217.25.239.31: icmp_seq=159 ttl=58 time=11.2 ms
2022-12-19 07:37:10: 64 bytes from 217.25.239.31: icmp_seq=160 ttl=58 time=11.3 ms
2022-12-19 07:37:25: 64 bytes from 217.25.239.31: icmp_seq=161 ttl=58 time=12.6 ms
2022-12-19 07:37:40: 64 bytes from 217.25.239.31: icmp_seq=162 ttl=58 time=10.3 ms
2022-12-19 07:37:55: 64 bytes from 217.25.239.31: icmp_seq=163 ttl=58 time=11.0 ms
2022-12-19 07:38:10: 64 bytes from 217.25.239.31: icmp_seq=164 ttl=58 time=10.2 ms
2022-12-19 07:38:25: 64 bytes from 217.25.239.31: icmp_seq=165 ttl=58 time=12.2 ms
2022-12-19 07:38:40: 64 bytes from 217.25.239.31: icmp_seq=166 ttl=58 time=10.9 ms
2022-12-19 07:38:55: 64 bytes from 217.25.239.31: icmp_seq=167 ttl=58 time=10.7 ms
2022-12-19 07:39:10: 64 bytes from 217.25.239.31: icmp_seq=168 ttl=58 time=10.2 ms
2022-12-19 07:39:25: 64 bytes from 217.25.239.31: icmp_seq=169 ttl=58 time=10.3 ms
2022-12-19 07:39:40: 64 bytes from 217.25.239.31: icmp_seq=170 ttl=58 time=10.7 ms
2022-12-19 07:39:55: 64 bytes from 217.25.239.31: icmp_seq=171 ttl=58 time=11.0 ms
2022-12-19 07:40:10: 64 bytes from 217.25.239.31: icmp_seq=172 ttl=58 time=10.9 ms
2022-12-19 07:40:25: 64 bytes from 217.25.239.31: icmp_seq=173 ttl=58 time=10.8 ms
2022-12-19 07:40:40: 64 bytes from 217.25.239.31: icmp_seq=174 ttl=58 time=10.3 ms
2022-12-19 07:40:55: 64 bytes from 217.25.239.31: icmp_seq=175 ttl=58 time=10.1 ms
2022-12-19 07:41:10: 64 bytes from 217.25.239.31: icmp_seq=176 ttl=58 time=11.2 ms
2022-12-19 07:41:25: 64 bytes from 217.25.239.31: icmp_seq=177 ttl=58 time=11.6 ms
2022-12-19 07:41:40: 64 bytes from 217.25.239.31: icmp_seq=178 ttl=58 time=10.1 ms
2022-12-19 07:41:55: 64 bytes from 217.25.239.31: icmp_seq=179 ttl=58 time=10.5 ms
2022-12-19 07:42:10: 64 bytes from 217.25.239.31: icmp_seq=180 ttl=58 time=10.2 ms
2022-12-19 07:42:25: 64 bytes from 217.25.239.31: icmp_seq=181 ttl=58 time=11.8 ms
2022-12-19 07:42:40: 64 bytes from 217.25.239.31: icmp_seq=182 ttl=58 time=10.8 ms
2022-12-19 07:42:55: 64 bytes from 217.25.239.31: icmp_seq=183 ttl=58 time=10.5 ms
2022-12-19 07:43:10: 64 bytes from 217.25.239.31: icmp_seq=184 ttl=58 time=11.2 ms
2022-12-19 07:43:25: 64 bytes from 217.25.239.31: icmp_seq=185 ttl=58 time=10.2 ms
2022-12-19 07:43:40: 64 bytes from 217.25.239.31: icmp_seq=186 ttl=58 time=10.5 ms
2022-12-19 07:43:55: 64 bytes from 217.25.239.31: icmp_seq=187 ttl=58 time=10.9 ms
2022-12-19 07:44:10: 64 bytes from 217.25.239.31: icmp_seq=188 ttl=58 time=11.0 ms
2022-12-19 07:44:25: 64 bytes from 217.25.239.31: icmp_seq=189 ttl=58 time=10.3 ms
2022-12-19 07:44:40: 64 bytes from 217.25.239.31: icmp_seq=190 ttl=58 time=10.5 ms
2022-12-19 07:44:55: 64 bytes from 217.25.239.31: icmp_seq=191 ttl=58 time=10.3 ms
2022-12-19 07:45:10: 64 bytes from 217.25.239.31: icmp_seq=192 ttl=58 time=10.5 ms
2022-12-19 07:45:25: 64 bytes from 217.25.239.31: icmp_seq=193 ttl=58 time=10.4 ms
2022-12-19 07:45:40: 64 bytes from 217.25.239.31: icmp_seq=194 ttl=58 time=10.3 ms
2022-12-19 07:45:55: 64 bytes from 217.25.239.31: icmp_seq=195 ttl=58 time=11.1 ms
2022-12-19 07:46:10: 64 bytes from 217.25.239.31: icmp_seq=196 ttl=58 time=10.4 ms
2022-12-19 07:46:25: 64 bytes from 217.25.239.31: icmp_seq=197 ttl=58 time=11.2 ms
2022-12-19 07:46:40: 64 bytes from 217.25.239.31: icmp_seq=198 ttl=58 time=10.4 ms
2022-12-19 07:46:55: 64 bytes from 217.25.239.31: icmp_seq=199 ttl=58 time=10.6 ms
2022-12-19 07:47:10: 64 bytes from 217.25.239.31: icmp_seq=200 ttl=58 time=12.4 ms
2022-12-19 07:47:25: 64 bytes from 217.25.239.31: icmp_seq=201 ttl=58 time=10.7 ms
2022-12-19 07:47:40: 64 bytes from 217.25.239.31: icmp_seq=202 ttl=58 time=10.5 ms
2022-12-19 07:47:55: 64 bytes from 217.25.239.31: icmp_seq=203 ttl=58 time=10.9 ms
2022-12-19 07:48:10: 64 bytes from 217.25.239.31: icmp_seq=204 ttl=58 time=10.5 ms
2022-12-19 07:48:25: 64 bytes from 217.25.239.31: icmp_seq=205 ttl=58 time=10.4 ms
2022-12-19 07:48:40: 64 bytes from 217.25.239.31: icmp_seq=206 ttl=58 time=10.6 ms
2022-12-19 07:48:55: 64 bytes from 217.25.239.31: icmp_seq=207 ttl=58 time=10.8 ms
2022-12-19 07:49:10: 64 bytes from 217.25.239.31: icmp_seq=208 ttl=58 time=11.4 ms
2022-12-19 07:49:25: 64 bytes from 217.25.239.31: icmp_seq=209 ttl=58 time=10.5 ms
2022-12-19 07:49:40: 64 bytes from 217.25.239.31: icmp_seq=210 ttl=58 time=10.5 ms
2022-12-19 07:49:55: 64 bytes from 217.25.239.31: icmp_seq=211 ttl=58 time=12.8 ms
2022-12-19 07:50:10: 64 bytes from 217.25.239.31: icmp_seq=212 ttl=58 time=11.3 ms
2022-12-19 07:50:25: 64 bytes from 217.25.239.31: icmp_seq=213 ttl=58 time=10.6 ms
2022-12-19 07:50:40: 64 bytes from 217.25.239.31: icmp_seq=214 ttl=58 time=10.2 ms
2022-12-19 07:50:55: 64 bytes from 217.25.239.31: icmp_seq=215 ttl=58 time=10.5 ms
2022-12-19 07:51:10: 64 bytes from 217.25.239.31: icmp_seq=216 ttl=58 time=10.3 ms
2022-12-19 07:51:25: 64 bytes from 217.25.239.31: icmp_seq=217 ttl=58 time=10.5 ms
2022-12-19 07:51:40: 64 bytes from 217.25.239.31: icmp_seq=218 ttl=58 time=10.2 ms
2022-12-19 07:51:56: 64 bytes from 217.25.239.31: icmp_seq=219 ttl=58 time=10.6 ms
2022-12-19 07:52:11: 64 bytes from 217.25.239.31: icmp_seq=220 ttl=58 time=10.3 ms
2022-12-19 07:52:26: 64 bytes from 217.25.239.31: icmp_seq=221 ttl=58 time=10.7 ms
2022-12-19 07:52:41: 64 bytes from 217.25.239.31: icmp_seq=222 ttl=58 time=10.4 ms
2022-12-19 07:52:56: 64 bytes from 217.25.239.31: icmp_seq=223 ttl=58 time=10.6 ms
2022-12-19 07:53:11: 64 bytes from 217.25.239.31: icmp_seq=224 ttl=58 time=10.6 ms
2022-12-19 07:53:26: 64 bytes from 217.25.239.31: icmp_seq=225 ttl=58 time=10.5 ms
2022-12-19 07:53:41: 64 bytes from 217.25.239.31: icmp_seq=226 ttl=58 time=10.6 ms
2022-12-19 07:53:56: 64 bytes from 217.25.239.31: icmp_seq=227 ttl=58 time=11.1 ms
2022-12-19 07:54:11: 64 bytes from 217.25.239.31: icmp_seq=228 ttl=58 time=10.4 ms
2022-12-19 07:54:26: 64 bytes from 217.25.239.31: icmp_seq=229 ttl=58 time=10.7 ms
2022-12-19 07:54:41: 64 bytes from 217.25.239.31: icmp_seq=230 ttl=58 time=10.1 ms
2022-12-19 07:54:56: 64 bytes from 217.25.239.31: icmp_seq=231 ttl=58 time=10.9 ms
2022-12-19 07:55:11: 64 bytes from 217.25.239.31: icmp_seq=232 ttl=58 time=10.5 ms
2022-12-19 07:55:26: 64 bytes from 217.25.239.31: icmp_seq=233 ttl=58 time=10.7 ms
2022-12-19 07:55:41: 64 bytes from 217.25.239.31: icmp_seq=234 ttl=58 time=10.9 ms
2022-12-19 07:55:56: 64 bytes from 217.25.239.31: icmp_seq=235 ttl=58 time=10.7 ms
2022-12-19 07:56:11: 64 bytes from 217.25.239.31: icmp_seq=236 ttl=58 time=11.0 ms
2022-12-19 07:56:26: 64 bytes from 217.25.239.31: icmp_seq=237 ttl=58 time=10.4 ms
2022-12-19 07:56:41: 64 bytes from 217.25.239.31: icmp_seq=238 ttl=58 time=10.6 ms
2022-12-19 07:56:56: 64 bytes from 217.25.239.31: icmp_seq=239 ttl=58 time=11.2 ms
2022-12-19 07:57:11: 64 bytes from 217.25.239.31: icmp_seq=240 ttl=58 time=10.5 ms
2022-12-19 07:57:26: 64 bytes from 217.25.239.31: icmp_seq=241 ttl=58 time=10.4 ms
2022-12-19 07:57:41: 64 bytes from 217.25.239.31: icmp_seq=242 ttl=58 time=10.3 ms
2022-12-19 07:57:56: 64 bytes from 217.25.239.31: icmp_seq=243 ttl=58 time=10.3 ms
2022-12-19 07:58:11: 64 bytes from 217.25.239.31: icmp_seq=244 ttl=58 time=11.0 ms
2022-12-19 07:58:26: 64 bytes from 217.25.239.31: icmp_seq=245 ttl=58 time=11.2 ms
2022-12-19 07:58:41: 64 bytes from 217.25.239.31: icmp_seq=246 ttl=58 time=10.7 ms
2022-12-19 07:58:56: 64 bytes from 217.25.239.31: icmp_seq=247 ttl=58 time=10.9 ms
2022-12-19 07:59:11: 64 bytes from 217.25.239.31: icmp_seq=248 ttl=58 time=10.8 ms
2022-12-19 07:59:26: 64 bytes from 217.25.239.31: icmp_seq=249 ttl=58 time=10.5 ms
2022-12-19 07:59:41: 64 bytes from 217.25.239.31: icmp_seq=250 ttl=58 time=10.4 ms
2022-12-19 07:59:56: 64 bytes from 217.25.239.31: icmp_seq=251 ttl=58 time=11.7 ms
2022-12-19 08:00:11: 64 bytes from 217.25.239.31: icmp_seq=252 ttl=58 time=11.2 ms
2022-12-19 08:00:26: 64 bytes from 217.25.239.31: icmp_seq=253 ttl=58 time=10.6 ms
2022-12-19 08:00:41: 64 bytes from 217.25.239.31: icmp_seq=254 ttl=58 time=10.8 ms
2022-12-19 08:00:56: 64 bytes from 217.25.239.31: icmp_seq=255 ttl=58 time=10.8 ms
2022-12-19 08:01:11: 64 bytes from 217.25.239.31: icmp_seq=256 ttl=58 time=10.3 ms
2022-12-19 08:01:26: 64 bytes from 217.25.239.31: icmp_seq=257 ttl=58 time=10.9 ms
2022-12-19 08:01:41: 64 bytes from 217.25.239.31: icmp_seq=258 ttl=58 time=10.5 ms
2022-12-19 08:01:56: 64 bytes from 217.25.239.31: icmp_seq=259 ttl=58 time=10.3 ms
2022-12-19 08:02:11: 64 bytes from 217.25.239.31: icmp_seq=260 ttl=58 time=10.4 ms
2022-12-19 08:02:26: 64 bytes from 217.25.239.31: icmp_seq=261 ttl=58 time=10.9 ms
2022-12-19 08:02:41: 64 bytes from 217.25.239.31: icmp_seq=262 ttl=58 time=10.4 ms
